timestamp,barcodes
1601097148.400326,['YAOVHSUKHB']
1601097153.400326,['KITZYUOLZF']
1601097163.400326,['AAIGHCVMER']
1601097168.400326,['KIWMIZNWLV']
1601097178.400326,['GVGZBXBTOD']
1601097183.400326,['LWNPMNNFAD']
1601097188.400326,['SYQCNXCOAP']
1601097193.400326,['GYBRYRRSZJ']
1601097218.400326,['WFNJMGHPJD']
1601097223.400326,['SIPLHXGYZO']
1601097228.400326,['HZJDLZCYEU']
1601097233.400326,['BQWLJZLKFU']
1601097238.400326,"['IAMGBJTTJR', 'BARDMIEJCC']"
1601097248.400326,"['BARDMIEJCC', 'IAMGBJTTJR']"
1601097253.400326,['RKKEZOAHLK']
1601097258.400326,['PIDJWPJQWR']
1601097263.400326,['OJICLRQJIB']
1601097268.400326,"['SSMVPSQLUX', 'JKXUBGKJZU']"
1601097288.400326,['JKXUBGKJZU']
1601097293.400326,['JGQSYGHFRH']
1601097303.400326,['FZHGGSWLFC']
1601097308.400326,['HXEBCUVHDW']
1601097318.400326,['KUUSSZZCCZ']
1601097323.400326,['DXVXLGJYFO']
1601097328.400326,['NSKDRMZPOS']
1601097333.400326,['ZXQNKXDXXV']
1601097338.400326,['JFXDIAJMQB']
1601097358.400326,['UFTDYXBOHP']
1601097363.400326,['WFALTGFEHK']
1601097368.400326,['ZKHKGHLFFB']
1601097373.400326,['DHSPBLJSZZ']
1601097378.400326,['QJVAAIPLGH']
1601097388.400326,['QYYQGUDUMH']
1601097403.400326,['YDLGEGSNUB']
1601097408.400326,['ZDQTKFVQPI']
1601097428.400326,['EBSYASGBSR']
1601097438.400326,['NCPPMFSCSF']
1601097448.400326,['MAFITOZXYU']
1601097463.400326,['KCRDWZTHES']
1601097468.400326,['RTGASOHLSO']
1601097473.400326,['AYKQOZUVAZ']
1601097478.400326,['AAROPJWZXX']
1601097498.400326,['WGSQHSVRWR']
1601097503.400326,['AGIQRZHSYJ']
1601097508.400326,['PUHRJDWVKG']
1601097513.400326,['MASCJUBDBD']
1601097528.400326,['FSNKKFPYAR']
1601097533.400326,['MUGQWDOSPH']
1601097538.400326,['CKPMFGWICH']
1601097543.400326,"['KVOJMQLGGJ', 'WDRFMKBMNH']"
1601097568.400326,['HURCWKOIZO']
1601097573.400326,['WDRFMKBMNH']
1601097578.400326,['HQXRJPYEYY']
1601097588.400326,['FMLHBMLGIL']
1601097598.400326,"['LJQZXASMCM', 'FMLHBMLGIL']"
1601097603.400326,['JVBRKEJGXB']
1601097618.400326,['IVUUCIMQHB']
1601097638.400326,"['EWARFCMPFE', 'IVUUCIMQHB']"
1601097648.400326,['JAPAKCJWJQ']
1601097653.400326,['SOCJWHMUNO']
1601097658.400326,['AVTVENMCEY']
1601097668.400326,['ERWIAIOGZZ']
1601097673.400326,['TOWJTBLZFS']
1601097678.400326,['KIVYLNNHIP']
1601097688.400326,['GEASXXANIC']
